Drug,Cell_Line,Predicted_IC50
Cytarabine,SU-DHL-6,0.4139155
AZD5582,SU-DHL-6,0.41393027
Docetaxel,DBTRG-05MG,0.4142979
Wee1 Inhibitor,SU-DHL-8,0.41430315
AZD8055,U-87-MG,0.41432545
Tanespimycin,YKG-1,0.41437048
Irinotecan,JEKO-1,0.41449437
Schweinfurthin A,42-MG-BA,0.41453695
Irinotecan,SU-DHL-8,0.4145949
OTX015,JSC-1,0.4145981
GNE-317,CTB-1,0.41470176
LMP744,SK-MG-1,0.4147975
MG-132,no-11,0.41484195
Foretinib,D-566MG,0.41504753
AZD6738,A3-KAW,0.41511816
Tanespimycin,SF295,0.41530216
AZD2014,H4,0.41533244
Dasatinib,D-542MG,0.41550592
AZD7762,LN-18,0.41550615
BMS-754807,RL,0.41558546
Trametinib,KINGS-1,0.41569868
Afatinib,SU-DHL-16,0.41583246
Paclitaxel,GB-1,0.41605848
Buparlisib,YH-13,0.41606972
Rapamycin,no-11,0.41613698
MK-1775,RL,0.41621473
AZD8055,TK,0.41645673
Obatoclax Mesylate,GI-1,0.4164904
Mycophenolic acid,JSC-1,0.41677526
Dasatinib,M059J,0.41681844
Entinostat,SCC-3,0.4169271
Obatoclax Mesylate,DB,0.41700283
Topotecan,Becker,0.41710255
AZD6738,MC116,0.41722378
Cytarabine,MOG-G-UVW,0.4173838
Tanespimycin,LN-229,0.41745842
Ipatasertib,Farage,0.41748416
Afuresertib,A4-Fuk,0.41771793
Telomerase Inhibitor IX,Hs-683,0.41772416
Methotrexate,SU-DHL-10,0.4177962
Podophyllotoxin bromide,U-87-MG,0.41803393
ABT737,SLVL,0.41807193
BMS-754807,SU-DHL-5,0.41810197
Lestaurtinib,LN-18,0.41826203
630600,RC-K8,0.4182944
Talazoparib,JM1,0.41836682
Methotrexate,DOHH-2,0.418379
Teniposide,U-118-MG,0.41848764
GNE-317,SF126,0.4185136
Teniposide,SF268,0.41853848
GSK2110183B,SU-DHL-10,0.41854596
GSK269962A,SU-DHL-16,0.4185779
Pictilisib,KARPAS-1106P,0.41862977
Telomerase Inhibitor IX,DB,0.41864163
Cytarabine,H4,0.41875124
Lestaurtinib,SW1088,0.41876695
Wee1 Inhibitor,H4,0.4189476
Gemcitabine,GAMG,0.41913372
OTX015,MC116,0.4193009
AZD7762,Becker,0.4195462
Tanespimycin,D-502MG,0.41966912
Ulixertinib,A3-KAW,0.41977075
AZD5363,MC116,0.41996056
5-azacytidine,SU-DHL-5,0.41998583
Teniposide,LN-18,0.4201416
SGC0946,SU-DHL-5,0.42017755
TW 37,SF539,0.42041492
Methotrexate,A172,0.42058894
ZM447439,OCI-LY-19,0.420633
Axitinib,A3-KAW,0.42066413
Mycophenolic acid,SU-DHL-6,0.4207687
630600,KARPAS-1106P,0.42081627
Obatoclax Mesylate,KARPAS-1106P,0.42092404
Camptothecin,LN-229,0.42094958
Pictilisib,D-247MG,0.42095965
Foretinib,KALS-1,0.42097962
Telomerase Inhibitor IX,KARPAS-1106P,0.42106447
MK-2206,SU-DHL-4,0.4211691
Buparlisib,MOG-G-UVW,0.42120367
Pictilisib,H4,0.42191917
Mitoxantrone,Becker,0.42196804
Dihydrorotenone,SU-DHL-10,0.42209858
Methotrexate,SLVL,0.42221254
Temsirolimus,8-MG-BA,0.42243183
PRT062607,DOHH-2,0.42255467
Sorafenib,SU-DHL-5,0.42264035
Dihydrorotenone,SU-DHL-6,0.4229613
AZD8055,SF268,0.42304525
Osimertinib,SU-DHL-5,0.42304686
Cytarabine,LN-18,0.42317572
ZM447439,VAL,0.42323038
Dihydrorotenone,Farage,0.42336756
Telomerase Inhibitor IX,GAMG,0.423378
Vorinostat,DB,0.42346093
Palbociclib,CTB-1,0.42348537
RO-3306,OCI-LY-19,0.4234895
Sabutoclax,D-502MG,0.4235687
Trametinib,SLVL,0.42377403
Refametinib,A3-KAW,0.42404392
JQ1,VAL,0.42406175
Dihydrorotenone,JSC-1,0.42410052
Podophyllotoxin bromide,GB-1,0.42415005
Schweinfurthin A,A172,0.42426267
Podophyllotoxin bromide,D-392MG,0.42448246
630600,Farage,0.42453104
AZ960,A172,0.4247693
JQ1,KARPAS-1106P,0.4247746
Telomerase Inhibitor IX,D-423MG,0.42494333
Alisertib,A172,0.42513347
Epirubicin,DBTRG-05MG,0.4251398
Entinostat,JEKO-1,0.42557907
Podophyllotoxin bromide,LN-229,0.42567393
Pictilisib,SF295,0.42574245
GNE-317,D-247MG,0.4258214
667880,Farage,0.42601436
AZD5153,A172,0.42602468
AZD7762,KS-1,0.42604956
Palbociclib,SU-DHL-5,0.4260943
ABT737,SU-DHL-4,0.42618206
MK-1775,A172,0.42630413
Buparlisib,SU-DHL-10,0.42639583
Vorinostat,Farage,0.4264312
Dasatinib,A172,0.42645067
GNE-317,U-87-MG,0.42645392
Lestaurtinib,SK-MG-1,0.4265262
Irinotecan,DB,0.4266489
Alisertib,8-MG-BA,0.42670822
Vorinostat,WSU-DLCL2,0.4267845
667880,KARPAS-1106P,0.4268947
BMS-754807,CTB-1,0.42694736
Obatoclax Mesylate,TK,0.42700157
630600,DB,0.42704424
GNE-317,JEKO-1,0.4271706
667880,VAL,0.42717305
Buparlisib,NU-DUL-1,0.4271849
MK-2206,MC116,0.42726377
Buparlisib,TUR,0.42735127
GNE-317,U-118-MG,0.42738792
Vinorelbine,NMC-G1,0.42741215
PRT062607,NU-DUL-1,0.42741925
Dasatinib,8-MG-BA,0.42746592
AZD8055,RC-K8,0.4276119
Pevonedistat,Becker,0.42768553
AZD5153,SF539,0.4276968
Afatinib,A3-KAW,0.4277649
Gemcitabine,KNS-42,0.4278018
Trametinib,42-MG-BA,0.42783445
Tanespimycin,LN-405,0.42805836
AZD5582,SU-DHL-10,0.42809927
Wee1 Inhibitor,SU-DHL-10,0.42819938
GNE-317,Hs-683,0.42827854
Foretinib,SF126,0.4284043
Oxaliplatin,CRO-AP2,0.42844027
Bleomycin,A3-KAW,0.42855188
Podophyllotoxin bromide,U-118-MG,0.42863467
Venetoclax,JEKO-1,0.4287783
630600,TUR,0.42882097
YK-4-279,SCC-3,0.42904887
Alisertib,D-566MG,0.42916077
Palbociclib,SU-DHL-16,0.4292788
Uprosertib,SU-DHL-4,0.42930916
Methotrexate,CTB-1,0.42934623
Pictilisib,JEKO-1,0.42934993
Osimertinib,SU-DHL-6,0.42936242
Obatoclax Mesylate,U-87-MG,0.42946237
MK-1775,T98G,0.42947567
Mycophenolic acid,WSU-DLCL2,0.42957437
Camptothecin,KINGS-1,0.4296426
OSI-027,WSU-DLCL2,0.42964786
YK-4-279,SU-DHL-10,0.4296558
Methotrexate,LN-18,0.42966577
Dasatinib,JSC-1,0.42967683
Afuresertib,KARPAS-422,0.42969003
667880,SF539,0.42976037
Taselisib,RL,0.42995903
Methotrexate,SF268,0.4299789
LMP744,D-263MG,0.429994
667880,SLVL,0.43021742
Palbociclib,OCI-LY-19,0.4302746
Cytarabine,SLVL,0.43030295
MK-2206,KARPAS-422,0.43030956
Telomerase Inhibitor IX,D-566MG,0.43037403
630600,8-MG-BA,0.43046272
Cisplatin,SCC-3,0.430653
Talazoparib,Hs-683,0.43065757
GNE-317,SLVL,0.43066812
NU7441,WSU-DLCL2,0.43070427
Dasatinib,SCC-3,0.4310635
Pevonedistat,U-118-MG,0.4311605
5-azacytidine,VAL,0.4314288
667880,TUR,0.43142965
Palbociclib,NU-DUL-1,0.4315902
Bromosporine,SU-DHL-5,0.4317386
Cediranib,42-MG-BA,0.43174368
Temsirolimus,CAS-1,0.43175057
GNE-317,SF295,0.43185994
TW 37,H4,0.4320013
Methotrexate,U251,0.432016
GSK-LSD1,SU-DHL-6,0.4320199
Osimertinib,Farage,0.43209222
Talazoparib,D-423MG,0.43214107
Buparlisib,SF539,0.4323178
BEN,A3-KAW,0.43232518
Teniposide,YH-13,0.43238074
Venetoclax,SU-DHL-10,0.43260646
Trametinib,LNZTA3WT4,0.43263507
Ulixertinib,AM-38,0.43269286
Temsirolimus,D-423MG,0.43294007
Afatinib,DOHH-2,0.43319115
Dihydrorotenone,U-118-MG,0.43336517
YK-4-279,JSC-1,0.43338042
MK-1775,KS-1,0.43340328
Refametinib,AM-38,0.43341666
Lestaurtinib,GAMG,0.4335644
Pictilisib,8-MG-BA,0.43358517
Bleomycin,DOHH-2,0.4337128
Cytarabine,TUR,0.4339248
Sabutoclax,D-392MG,0.43414178
Schweinfurthin A,LN-18,0.43422762
AZ960,SU-DHL-4,0.43437785
AZD6738,SU-DHL-16,0.43443447
Piperlongumine,DOHH-2,0.43453124
Dihydrorotenone,A172,0.43453813
Crizotinib,SU-DHL-5,0.4346415
Buparlisib,8-MG-BA,0.43487912
I-BET-762,OCI-LY-19,0.43496564
GNE-317,RL,0.43502328
Ibrutinib,SU-DHL-6,0.43506905
YK-4-279,JM1,0.4351017
Bromosporine,DOHH-2,0.4351056
Pictilisib,GAMG,0.43538365
AZD7762,CAS-1,0.43538526
Wee1 Inhibitor,BC-1,0.43550137
667880,42-MG-BA,0.43554482
Osimertinib,MC116,0.43574387
Vorinostat,KARPAS-1106P,0.4360108
Sabutoclax,T98G,0.43617344
Venetoclax,A3-KAW,0.43626317
Uprosertib,KARPAS-422,0.43628615
Uprosertib,KARPAS-422,0.43628615
Sabutoclax,DBTRG-05MG,0.4363033
Palbociclib,DOHH-2,0.43633452
Afatinib,SU-DHL-6,0.43640488
50869,A3-KAW,0.43641144
BX795,Farage,0.4364354
Telomerase Inhibitor IX,KALS-1,0.43655747
Osimertinib,SU-DHL-16,0.43662158
Irinotecan,GRANTA-519,0.43663436
Obatoclax Mesylate,SF539,0.436777
Obatoclax Mesylate,SF268,0.437051
Foretinib,WSU-DLCL2,0.43713343
VE-822,SCC-3,0.43740577
MK-8776,TUR,0.4376183
Ulixertinib,JSC-1,0.43766358
AZD5153,M059J,0.43771175
Buparlisib,DK-MG,0.43772566
Foretinib,SU-DHL-10,0.4378064
AZD2014,KS-1,0.43782336
YK-4-279,D-423MG,0.43785477
GNE-317,KARPAS-422,0.43787464
